Ticket,NF,Data Ocorrência,Ocorrência,Parceiro, Valor , Produto , Emissão ,Quantidade,Categoria Produto,UF,SKU
email,101379,20/09/2023,Extravio,Total," R$  369,55 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-03-09,1,Painel 155 Wp,RJ,10141
email,101379,20/09/2023,Extravio,Total," R$  96,79 ",Controlador de Carga Epever LandStar série EU 10A 12/24V (LS1024EU),2023-03-09,1,Controlador 10A,RJ,10075
#29945,101337,21/03/2023,Avaria,Total," R$  350,10 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-03-09,1,Painel 155 Wp,SP,10141
#30259,101251,03/04/2023,Avaria,Gran Cargo," R$  640,92 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-03-08,2,Painel 155 Wp,PA,10141
#29860,101243,17/03/2023,Avaria,Alfa," R$  341,10 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-03-08,1,Painel 155 Wp,MG,10141
#29803,101162,15/03/2023,Avaria,Gran Cargo," R$  251,10 ",Painel Solar Fotovoltaico Resun RSM100P (100Wp),2023-03-07,1,Painel 100 Wp,MT,10142
#29670,100871,10/03/2023,Avaria,Gran Cargo," R$  197,10 ",PAINEL SOLAR FOTOVOLTAICO RESUN RSM060P (60WP),2023-03-02,1,Painel 60 Wp,GO,20315
#29722,100877,14/03/2023,Avaria,Tecmar," R$  968,76 ",Painel Solar Fotovoltaico Resun RSM100P (100Wp),2023-03-02,4,Painel 100 Wp,PR,10142
#29748,100874,14/03/2023,Avaria,TNT," R$  538,00 ",Painel Solar Fotovoltaico Resun RSM100P (100Wp),2023-03-02,2,Painel 100 Wp,MG,10142
#29961,4484,22/03/2023,Avaria,Alfa," R$  1.699,00 ",Painel Solar Fotovoltaico Luxen LNVH-595M Mono (595Wp) - cabo 2.0m,2023-02-28,1,Painel 595 Wp,SP,10282
#29586,4476,08/03/2023,Avaria,Solistica," R$  2.798,00 ",Painel Solar Fotovoltaico Sunova Solar SS-550-72MDH (550Wp) - 2.0m cabo,2023-02-27,2,Painel 550 Wp,SP,10287
#30082,100582,27/03/2023,Extravio,Exata Cargo," R$  1.681,90 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA330-36-P (330WP),2023-02-24,2,Painel 330 Wp,TO,20298
#30082,100582,27/03/2023,Extravio,Exata Cargo," R$  440,93 ",CONTROLADOR DE CARGA MPPT EPEVER 30A 12/24V XTRA3210N-XDS2,2023-02-24,1,Controlador 30A,TO,20141
#30082,100582,27/03/2023,Extravio,Exata Cargo," R$  3.763,80 ",BATERIA ESTACIONÁRIA FULGURIS FGCL 150 D (150AH),2023-02-24,4,Bateria 150 Ah,TO,20025
#29641,100466,09/03/2023,Avaria,Tecmar," R$  1.498,00 ",Painel Solar Fotovoltaico Osda ODA330-36-P Poli (330Wp),2023-02-22,2,Painel 330 Wp,AL,10091
#29605,100350,27/03/2023,Extravio,TNT," R$  90,91 ",Controlador de Carga Epever LandStar série EU 10A 12/24V (LS1024EU),2023-02-17,1,Controlador 10A,MT,10075
#29728,100293,13/03/2023,Avaria,TNT," R$  909,54 ",PAINEL SOLAR FOTOVOLTAICO RESUN RS7E-210M (210WP),2023-02-16,1,Painel 210 Wp,AC,20311
#28967,99790,16/02/2023,Avaria,TNT," R$  399,00 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-02-07,1,Painel 155 Wp,SP,10141
#28902,99738,14/02/2023,Avaria,TNT," R$  778,00 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-02-07,2,Painel 155 Wp,SC,10141
#29441,99606,02/03/2023,Avaria,TNT," R$  729,10 ",Painel Solar Fotovoltaico Resun RSM030P (30Wp),2023-02-06,5,Painel 30 Wp,MS,10089
#28978,99642,16/02/2023,Avaria,TNT," R$  399,00 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-02-06,1,Painel 155 Wp,RJ,10141
#28998,99686,06/02/2023,Extravio,TNT," R$  1.022,07 ",PAINEL SOLAR FOTOVOLTAICO OSDA ODA465-36-MH PERC (465WP),2023-02-06,1,Painel 465 Wp,RJ,20304
#28791,99560,10/02/2023,Avaria,TNT," R$  778,00 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-02-03,2,Painel 155 Wp,GO,10141
#28764,99415,09/02/2023,Avaria,RodomaxLog," R$  538,00 ",Painel Solar Fotovoltaico Resun RSM100P (100Wp),2023-01-31,1,Painel 100 Wp,SP,10142
#28984,99342,16/02/2023,Avaria,Tecmar," R$  739,00 ",Painel Solar Fotovoltaico Osda ODA330-36-P Poli (330Wp),2023-01-31,1,Painel 330 Wp,BA,10091
email,99405,20/09/2023,Extravio,Total," R$  467,07 ",Painel Solar Fotovoltaico Resun RS7E-210M (210Wp),2023-01-31,1,Painel 210 Wp,SP,10165
#30317,4269,05/04/2023,Avaria,Alfa," R$  708,37 ",PAINEL SOLAR FOTOVOLTAICO LUXEN LNVU-550M (550WP),2023-01-27,1,Painel 550 Wp,SP,20295
#28797,99131,10/02/2023,Avaria,TNT," R$  3.297,00 ",Painel Solar Fotovoltaico Osda ODA465-36-MH PERC Mono (465Wp),2023-01-27,3,Painel 465 Wp,MG,10147
#28454,98962,01/02/2023,Avaria,TNT," R$  979,00 ",Painel Solar Fotovoltaico Osda ODA420-36V-PH Poli (420Wp),2023-01-24,1,Painel 420 Wp,SP,10001946
#28915,98895,15/02/2023,Avaria,Tecmar," R$  219,00 ",Painel Solar Fotovoltaico Resun RSM060P (60Wp),2023-01-23,1,Painel 60 Wp,RS,10088
